ein,env,geo,tradeassoc,name,p3orgpur,fisyr,ntee1,nteecc,state,zip5,ntee2007a,tradeassoc
911007501,1,4,,THE WHALE MUSEUM,THE MUSEUM SEEKS THROUGH EDUCATION & RESEARCH TO PROMOTE RESPONSIBLE STEWARDSHIP OF WHALES & THE MARINE ECOSYSTEMS UPON WHICH THEY DEPEND.,1998,A,A50,WA,98250,A56,
43290276,1,4,,"NATIONAL MARINE LIFE CENTER, INC.",RESCUE/REHABILITATE MARINE ANIMALS,1998,A,A50,MA,2532,A56,
237374527,1,1,,"CROWLEY MUSEUM & NATURE CENTER, INC",EDUCATION,1998,A,A50,FL,34240,A56,
351816648,1,1,,FRIENDS OF HOLLIDAY PARK,,1998,A,A50,IN,46260,C11,
911584808,1,3,,NORTHWEST DISCOVERY PROJECT,"TO AWAKEN WONDER AND PROMOTE STEWARDSHIP OF THIS REGION'S ENVIRONMENT THROUGH ENGAGING EXHIBITS, PUBLIC EDUCATION AND WILDLIFE REHABILITATION.",2000,A,A52,WA,98225,A56,
141811534,1,1,,NATURAL HISTORY MUSEUM OF THE ADIRONDACKS,"TO EDUCATE, INTRIGUE, AND INSPIRE THE GENERAL PUBLIC ABOUT THE ADIRONDACKS.",1999,A,A54,NY,12986,A56,
590838924,1,1,,"TALLAHASSEE MUSEUM OF HISTORY AND NATURAL SCIENCES, INC.",HISTORICAL MUSEUM AND ANIMAL HABITAT,1998,A,A56,FL,32310,A56,
946104179,1,1,,LINDSAY WILDLIFE MUSEUM,PROVIDE WILDLIFE EDUCATION,1998,A,A56,CA,94596,A56,
841404606,1,1,,MESA VERDE FOUNDATION,TO ASSIST RAISING FUNDS FOR THE CONSTRUCTION OF A NEW CULTURAL CENTER AT THE ENTRANCE OF MESA VERDE NATIONAL PARK,1999,A,A56,CO,81321,A56,
546055922,1,2,,"VIRGINIA LIVING MUSEUM, INC.",NATURAL SCIENCE AND ASTRONOMY EXHIBITS AND PROGRAMS,1998,A,A56,VA,23601,A56,
141470087,1,1,,MUSEUM OF THE HUDSON HIGHLANDS,,1998,A,A56,NY,12520,A56,
570985915,1,1,,SEA PINES MUSEUM AND FOREST PRESERVE,"APPROXIMATELY 5,000 PERSONS VISITED THE SEA PINES FOREST PRESERVE IN 1998. THESE PERSONS TOOK SELF-GUIDED TOURS OF THE PRESERVE. APPROXIMATELY 20 DIFFERENT GROUPS AND ORGANIZATIONS HELD EDUCATIONAL ENVIRONMENTAL FUNCTIONS IN THE FOREST PRESERVE USING THE FACILITIES PROVIDED BY THE FOUNDATION AT NO CHARGE.",1998,A,A56,SC,29928,A50,
231352000,1,1,,THE ACADEMY OF NATURAL SCIENCES OF PHILADELPHIA,,1998,A,A56,PA,19103,A56,
840518447,1,2,,DENVER MUSEUM OF NATURAL HISTORY,PUBLIC EDUCATION AND HISTORIC PRESERVATION.,1999,A,A56,CO,80205,A56,
586028607,1,1,,"FERNBANK, INC",,1998,A,A56,GA,30307,A56,
860111675,1,1,,ARIZONA-SONORA DESERT MUSEUM,,1998,A,A56,AZ,85743,A56,
951643378,1,1,,SANTA BARBARA MUSEUM OF NATURAL HISTORY,MUSEUM RESEARCH AND EDUCATION,1998,A,A56,CA,93105,A56,
60896043,1,2,,"SCIENCE CENTER OF CONNECTICUT, INC.","TO INCREASE PUBLIC UNDERSTANDING OF SCIENCE, TECHNOLOGY AND THE ENVIRONMENT.",1998,A,A56,CT,6119,A56,
751317961,1,1,,"HEARD NATURAL SCIENCE MUSEUM & WILDLIFE SANCTUARY, INC.","PRESERVATION OF LAND/COLLECTIONS, EDUCATION PROGRAMS",1998,A,A56,TX,75069,A56,
311577169,1,1,,NA HOALOHA AINAHOU,ENVIRONMENTAL EDUCATION/HISTORIC PRESERVATION,2000,A,A56,HI,96785,A56,
561342340,1,1,,COLBURN GEM AND MINERAL MUSEUM,"PROVIDE GEM, MINERAL & EARTH SCIENCE EDUCATION TO COMMUNITY",1998,A,A56,NC,28802,A56,
237090889,1,1,,"CALUSA NATURE CENTER & PLANETARIUM, INC","OPERATE MUSEUM, NATURE TRAILS AND PLANETARIUM AND ASSOCIATED EDUCATIONAL PROGRAMS.",1999,A,A56,FL,33905,A56,
510179336,1,1,,THE HIGH DESERT MUSEUM,,1998,A,A56,OR,97702,A56,
340714338,1,1,,CLEVELAND MUSEUM OF NATURAL HISTORY,OPERATION OF NATURAL HISTORY MUSEUM,1998,A,A56,OH,44106,A56,
592015726,1,1,,"GUMBO LIMBO NATURE CENTER OF PALM BEACH COUNTY, INC.",EDUCATION OF STUDENTS AND ADULTS ON ENVIRONMENTAL ISSUES.,2001,A,A56,FL,33432,A56,
237376772,1,1,,"MONTSHIRE MUSEUM OF SCIENCE, INC.",PROGRAMS & EXHIBITS-PHYSICAL & NATURAL SCIENCES,1998,A,A57,VT,5055,A56,
236417070,1,1,,EASTERN PENNSYLVANIA WATER POLLUTION CONTROL OPERATORS ASSOCIATION,,1998,A,A6A,PA,17067,C03,
61384466,1,1,,BRASS CENTER LIMITED,CLEANUP HAZARDOUS MATERIALS AND TOXIC WASTE,1998,A,A6C,CT,6710,C20,
61310098,1,1,,"WIND OVER WINGS, INC.",WILDLIFE REHABILITATION AND PUBLIC AWARENESS,1998,A,A6C,CT,6498,D30,
841594923,1,1,,LAND TRUST OF THE UPPER ARKANSAS,A LAND TRUST SETUP TO ADVANCE THE CONSERVATION AND STEWARDSHIP OF LANDS BY EDUCATING AND PROMOTING THE PEOPLE IN OUR AREA.,2002,A,A70,CO,81201,C34,
541814885,1,5,,INTERNATIONAL FUND FOR CHINA'S ENVIRONMENT,,2002,A,A70,KY,42701,C12,
990226697,1,1,,KILAUEA POINT NATURAL HISTORY ASSN.,"EDUCATIONAL, SCIENTIFIC, INTERPRETIVE",1998,A,A80,HI,96754,C03,
943130418,1,1,,SAN MATEO COAST NATURAL HISTORY ASSOCIATION,EDUCATIONAL & SCIENTIFIC,1998,A,A80,CA,94019,C03,
942546064,1,1,,POINT LOBOS NATURAL HISTORY ASSOCIATION,LEADERS FOR NATURE WALKS/EDUCATION,1998,A,A80,CA,93923,C03,
570686411,1,1,,"HISTORIC RICEFIELDS ASSOCIATION, INC.",,1998,A,A80,SC,29442,C32,
946106011,1,1,,SAN FRANCISCO BEAUTIFUL,PROTECT THE BEAUTY AND LIVABILITY OF SAN FRANCISCO,1998,A,A80,CA,94104,C50,
746068250,1,1,,"BIG BEND NATURAL HISTORY ASSOCIATION, INC",,1998,A,A80,TX,79834,C03,
953677444,1,1,,MOUNTAIN RESTORATION TRUST,PRESERVATION OF LAND AND LIMITATION,1998,A,A80,CA,91303,C34,
146000565,1,1,,"LAKE GEORGE ASSOCIATION, INC.",,1999,A,A80,NY,12845,C30,
620576032,1,1,,GREAT SMOKY MOUNTAINS NATURAL HISTORY ASSOC. INC,,1999,A,A80,TN,37738,C03,
391857262,1,2,,1000 FRIENDS OF WISCONSIN LAND USE INSTITUTE,PUBLIC EDUCATION,1998,A,A99,WI,53703,C01,
411943928,1,1,,COMO ZOO AND CONSERVATORY SOCIETY,"COSTS OF SOLICITATION OF CONTRIBUTIONS TO FUND, AND PLANNING FOR 1) THE CONSTRUCTION OF A NEW EDUCATION RESOURCE CENTER, AND 2) RENOVATION AND REFURBISHMENT OF THE ZOO BUILDING AND THE CONSERVATORY BUILDING, IN COMO PARK, ST. PAUL, MINNESOTA. COSTS INCLUDED ADMINISTRATIVE EXPENSES OF JOINT PROJECTS WITH UNRELATED EXEMPT ORGANIZATIONS WHICH ALSO SUPPORT THE COMO PARK ZOO, TO RAISE FUNDS THROUGH MEMBERSHIPS AND SPECIAL EVENTS.",1999,A,A99,MN,55108,D11,
133852957,1,1,,"GLYNWOOD CENTER, INC.",COMMUNITY STEWARDSHIP,1998,A,A99,NY,10516,W70,
911794627,1,1,,WALLOWA RESOURCES,,1998,A,A99,OR,97828,C32,
742927016,1,1,,"AUSTIN ZOO, INC.",COMMUNITY EDUCATION AND ANIMAL RESCUE.,2000,A,A99,TX,78709,D50,
251569662,1,5,,INTERNATIONAL SOCIETY FOR ENVIRONMENTAL EPIDEMIOLOGY,,1999,A,A99,MA,2210,C03,
680243631,1,1,,HUMBOLDT BOTANICAL GARDENS FOUNDATION,,1998,A,A99,CA,95502,C41,
341889427,1,1,,"RED-TAIL CONSERVANCY, INC.","TO PRESERVE, RESTORE AND PROTECT ECOLOGICALLY SIGNIFICANT AREAS OF RURAL AND URBAN EAST-CENTRAL INDIANA",2000,A,A99,IN,47308,C30,
521926679,1,4,,CITIZENS COAL COUNCIL,"EDUCATE PUBLIC RE:LEGAL RIGHTS, RE:MINING.",1998,B,B02,DC,20002,C05,
631059119,1,1,,"DOTHAN AREA BOTANICAL GARDENS, INC.",,1999,B,B03,AL,36303,C41,
522325427,1,4,,"American Society of Landscape Architects Library Education Advocacy Fund, Inc.",Education program oversight and library maintenance,2002,B,B03,DC,20001,B11,1
161452565,1,1,,"LAKE PLACID SHOREOWNERS' EDUCATION FOUNDATION, INC.","LAND PRESERVATION, ENVIRONMENTAL EDUCATION,WATER QUALITY",1999,B,B11,NY,12946,B11,
521313011,1,4,,THE HENRY M. JACKSON FOUNDATION,"SUPPORT EDUCATIONAL PROGRAMS RELATING TO INTERNATIONAL AFFAIRS, PUBLIC SERVICE, THE ENVIRONMENT, NATURAL RESOURCES AND ENERGY, AND HUMAN RIGHTS.",1998,B,B11,WA,98154,B11,
942879252,1,4,,DRI RESEARCH FOUNDATION,TO PROMOTE THE WELFARE OF THE DESERT RESEARCH INSTITUTE BY ASSISTING IN THE DEVELOPMENT AND ACQUISITION OF RESOURCES NEEDED BY THE INSTITUTE.,1998,B,B11,NV,89512,B11,
223787619,1,3,,"NORTHEAST ENVIRONMENTAL ENFORCEMENT TRAINING FUND, INC.","The Northeast Environmental Enforcement Training Fund, Inc will provide funds to support formal training courses, seminars and conferences pertaining to environmental enforcement skills and methods Educational activities associated with these courses will",2003,B,B12,OH,43065,C02,
391871776,1,4,,"ALCA EDUCATIONAL FOUNDATION, INC",TO PROVIDE SCHOLARSHIPS TO STUDENTS IN RECOGNIZED LANDSCAPING OR HORTICULTURAL PROGRAMS AND TO SUPPORT ASSOC. LANDSCAPE CONTRACT. OF AMER. ACTIVITIES.,1998,B,B19,VA,20170,B11,1
481096978,1,1,,SUNSET ZOOLOGICAL PARK AND WILDLIFE CONSERVATION TRUST FOUNDATION,"CHARITABLE, CONSERVATION, SCIENTIFIC AND EDUCATIONAL PURPOSES.",1998,B,B19,KS,66502,D11,
364200490,1,1,,GARFIELD PARK CONSERVATORY ALLIANCE,TO PROVIDE EDUCATIONAL PROGRAM SERVICES TO THE CONSERVATORY,1998,B,B19,IL,60612,C60,
841352764,1,1,,"WILD BEAR SCIENCE SCHOOL, INC.",,1998,B,B20,CO,80466,D11,
631134289,1,2,,ALABAMA ASSOC. OF RES. CONS. & DEV. COUNCILS,COORDINATE RC&D ACTIVITIES IN ALABAMA,1998,B,B60,AL,35401,C30,
880147822,1,3,,NEVADA WATER RESOURCES ASSOCIATION,"EDUCATION, TRAINING AND NETWORKING NEVADA'S WATER RESOURCES.",2003,B,B60,NV,89507,C32,
841305687,1,4,,ASPEN GLOBAL CHANGE INSTITUTE,ENVIRONMENTAL AWARENESS,1998,B,B60,CO,81611,C05,
850392844,1,1,,"SOUTH CENTRAL MOUNTAIN RESOURCE CONSERVATION & DEVELOPMENT COUNCIL, INC.",RESOURCE CONSERVATION & COMMUNITY DEVELOPMENT,1999,B,B70,NM,88301,C30,
841146279,1,1,,"FRIENDS OF DINOSAUR RIDGE, INC",EDUCATION AND CONSERVATION,1998,B,B70,CO,80465,C11,
911773097,1,1,,GREENBANK FARM MANAGEMENT GROUP,,1998,B,B70,WA,98253,C05,
870514210,1,1,,FRIENDS OF TRACY AVIARY,ZOO OPERATION AND EDUCATION,1998,B,B70,UT,84105,D11,
521864759,1,2,,1000 FRIENDS OF MARYLAND,WORKING FOR SMARTER GROWTH,1998,B,B70,MD,21093,C01,
311580204,1,4,,WILLIAM J. CLINTON PRESIDENTIAL FOUNDATION,"TO DESIGN, CONSTRUCT, AND INITIALLY ENDOW A PRESIDENTIAL ARCHIVAL DEPOSITORY.",1998,B,B70,AR,72203,B11,
650094703,1,1,,FRIENDS OF ROOKERY BAY,SUPPORT MANAGEMENT OF ROOKERY BAY,1998,B,B70,FL,34113,C11,
330943043,1,1,,MOUNTAIN AND SEA EDUCATIONAL ADVENTURES A CALIFORNIA PUBLIC BENEFIT CORPORATION,"The organization conducts educational camps for grade school aged children to educate them in marine biology, nature appreciation, and related skills",2000,B,B82,CA,90704,C60,
541926926,1,4,,CLEAN VEHICLE EDUCATION FOUNDATION,Clean vehicle research,2000,B,B82,DC,20001,B11,
412017329,1,2,,Minnesota League of Conservation Voters Education Fund,,2002,Z,B82,MN,55101,C01,
593369425,1,4,,"CREATING ANIMAL RESPECT EDUCATION FOUNDATION, INC.",,1998,B,B82,FL,32709,D20,
546031332,1,2,,VIRGINIA FORESTRY EDUCATIONAL FOUNDATION,EDUCATIONAL,1998,B,B82,VA,23229,C36,
770566513,1,2,,"CALIFORNIA PUBLIC INTEREST RESEARCH GROUP EDUCATION FUND, INC.","THE PRIMARY PURPOSE OF THIS ORGANIZATION IS TO ENGAGE IN PUBLIC EDUCATION. THIS MAY INCLUDE ACTIVITIES SUCH AS EDUCATION, RESEARCH AND LITIGATION ON ISSUES AFFECTING THE PUBLIC INTEREST.",2003,B,B82,CA,95814,C01,
330708902,1,1,,GRAUER FOUNDATION FOR EDUCATION,Education,2001,B,B90,CA,92024,B11,
30355315,1,4,,"U.S. WORKING GROUP, INC. D/B/A FOREST STEWARDSHIP COUNCIL US",FOREST STEWARDSHIP THROUGH CERTIFICATION,1998,B,B90,VT,5676,C36,
10517611,1,4,,"TEAM ADVENTURE EDUCATIONAL FOUNDATION, INC.",ALN WILL TEACH AND PROMOTE AWARENESS OF EARTH AND OCEAN SCIENCES THROUGH A MULTI-DISCIPLINARY AND MULTI-MEDIA APPROACH.,1998,B,B99,ME,4849,C60,
382513294,1,1,,HARTLEY OUTDOOR EDUCATION FOUNDATION,TO BUILD AN ENDOWMENT TO HELP SUPPORT HARTLEY OUTDOOR EDUCATION CENTER,1998,B,B99,MI,48655,B11,
680440384,1,4,,LEADERSHIP INSTITUTE FOR ECOLOGY AND THE ECONOMY,EDUCATE ENVIRONMENTALISTS TO BE FUTURE LEADERS IN THEIR COMMUNITIES AND TO EDUCATE THE PUBLIC ON ENVIRONMENTAL ISSUES,2000,B,B99,CA,95404,W70,
310831408,1,1,,LEARNING TREE FARM INC.,,1998,B,B99,OH,45418,C60,
522214307,1,4,,USACTION EDUCATION FUND,"US Education Fund's purpose is to educate the public on economic, racial, social and environmental justice issues.",2001,B,B99,DC,20005,B11,
20271824,1,1,,SCIENCE CENTER OF NEW HAMPSHIRE,EDUCATION,1998,B,B99,NH,3245,C60,
680397204,1,1,,SIERRA BUSINESS COUNCIL,EDUCATE THE PUBLIC AND SECURE THE ECONOMIC AND ENVIRONMENTAL HEALTH OF THE SIERRA NEVADA,1998,B,B99,CA,96160,S20,
476026109,1,1,,FONTENELLE FOREST ASSOCIATION,TO PROVIDE NATURAL SCIENCE AND ENVIRONMENTAL EDUCATION AND ATTRACTIONS; AND TO INCREASE AWARENESS OF AND PRESERVE LAND AND WILDLIFE IN ITS NATURAL STATE.,1998,B,B99,NE,68005,C03,
911571661,1,1,,OKANOGAN HIGHLANDS ALLIANCE,EDUCATIONAL TO PROTECT OUR RESOURCES,1998,B,B99,WA,98855,C60,
237037266,1,5,,"RAPTOR RESEARCH FOUNDATION, INC.",PROTECT BIRDS OF PREY,1999,B,B99,MN,55033,D05,
311654076,1,1,,PUGET SOUND ENVIRONMENTAL LEARNING CENTER,OPERATION OF AN ENVIRONMENTAL LEARNING CENTER,2000,B,B99,WA,98101,C60,
330701244,1,4,,THE NATIONAL PARKS PROJECT FOR YOUTH IN LEADERSHIP,"TO PROVIDE PROGRAMS OF ENVIRONMENTAL EDUCATION, CULTURAL EXCHANGE, TRAVEL-STUDY SEMINARS AND INDIGENOUS AND INTERNATIONAL LEADERSHIP DEVELOPMENT ACTIVITIES FOR CHILDREN, YOUTH AND YOUNG ADULTS.",1999,B,B99,IN,47401,W70,
591297777,1,2,,FLORIDA DEFENDERS OF THE ENVIRONMENT,,1998,B,B99,FL,32609,C30,
742879756,1,1,,WIMBERLEY VALLEY WATERSHED ASSOCIATION,PROTECT AND CONSERVE THE WIMBERLY VALLEY'S WATER RESOURCES AND PROMOTE SUSTAINABLE WATERSHED MANAGEMENT THROUGH PUBLIC EDUCATION AND ACTION.,1999,B,B99,TX,78676,C32,
680374372,1,1,,CACHE CREEK CONSERVANCY,CONSERVATION OF CACHE CREEK,1998,B,B99,CA,95695,C30,
581620669,1,3,,TN VALLEY ENERGY EDUCATION FOUNDATION,,1998,B,B99,TN,37902,W11,
436052063,1,1,,ST LOUIS AUDUBON SOCIETY,ENVIRONMENTAL EDUCATION,1998,B,B99,MO,63132,C30,
841375975,1,1,,GLEN CANYON INSTITUTE,RESTORATION OF GLEN CANYON,1998,B,B99,AZ,86002,C30,
421447541,1,1,,CEDAR VALLEY ARBORETUM & BOTANIC GARDENS,SCIENTIFIC/EDUCATIONAL ORGANIZATION,1998,B,B99,IA,50704,C41,
43521791,1,4,,"ENVIRONMENTAL LEADERSHIP PROGRAM, INC.",To provide environmentally focused leadership education and training,2001,B,B99,MA,1039,W70,
752459151,1,4,,LDL EDUCATIONAL RESOURCES,"HEALTH, EDUCATION, AND ENVIRONMENTAL PROJECTS IN A RURAL ENVIRONMENT",1998,B,B99,TX,76043,B11,
522254613,1,4,,ALLIANCE FOR CONSUMER EDUCATION,"To promote responsible and beneficial use of products to ensure a safer, healthier and cleaner environment in homes, businesses and the community.",2000,B,B99,DC,20006,W90,
581816832,1,4,,"PROJECT EVERGREEN FOUNDATION, INC. FORMERLY-PLCAA EDUCATION & RESEARCH FDTN","TO RAISE THE AWARENESS OF THE ENVIRONMENTAL, ECONOMIC AND LIFESTYLE BENEFITS OF LANDSCAPES AND PROMOTE THE SIGNIFICANCE OF THOSE WHO PRESERVE AND ENHANCE GREEN SPACES AT HOME, WORK AND PLAY.",2003,B,B99,MN,56071,B11,
920173630,1,2,,"MARINE EXCHANGE OF ALASKA, INC.",TO PREVENT AND RESPOND TO MARINE EMERGENCIES.,2001,B,B99,AK,99802,C02,
911430220,1,1,,FRIENDS OF THE ANACORTES COMMUNITY FOREST LANDS,EDUCATE THE PUBLIC ABOUT THE FOREST LANDS,1998,B,B99,WA,98221,C01,
912166435,1,4,,The Canopy Institute,"The organization support projects that use innovative market-based approaches to conserve natural resources, reduce pollution, and restore the environment During 2002, the organization supported four projects the Chemical Strategies Partnership, the Conse",2002,B,B99,CA,94111,C30,
10537084,1,1,,WESTERN MOUNTAINS FOUNDATION,"Education, conservation and environmental protection",2001,B,B99,ME,4947,C30,
841200529,1,4,,HAWKQUEST,PUBLIC EDUCATION,1998,B,B99,CO,80013,C60,
900062634,1,1,,"CHELSEA ROD & GUN CLUB OF CHELSEA, MI",,2003,B,B99,MI,48118,N61,
330862531,1,1,,AQUATIC ADVENTURES SCIENCE EDUCATION FOUNDATION,"DEVELOP AND OPERATE PROGRAMS THAT PROVIDE ACCESS AND ENTHUSIASM TOWARDS THE SCIENCES, STEWARDSHIP OF THE OCEAN, AND EXPOSURE TO THE AQUATIC ENVIRONMENT.",1999,B,B99,CA,92109,B11,
421498214,1,2,,Prairie Rivers of Lowa Resource Conservation & Development Inc,Resource Conservation,2002,B,B99,IA,50201,C32,
156023443,1,1,,"ESF COLLEGE FOUNDATION, INC.",SCHOLARSHIPS,1998,B,B99,NY,13210,B11,
10746862,1,4,,Great Plains Windustry Project,"To promote the development of wind energy and to explain and demonstrate the economic and environmental benefits of wind energy to the general public, especially including rural communities and the owners of land surrounding such communities.",2003,B,B99,MN,55404,C35,
363507636,1,1,,HARTLEY NATURE COUTER,EDUCATION,1999,C,C01,MN,55803,C60,
562368769,1,1,,NORTH SHORE LAND ALLIANCE INC.,"TO ENCOURAGE, AND ASSIST EFFORTS TO CONSERVE, MAINTAIN AND ENHANCE THE SCENIC, HISTORICAL, WILDERNESS, WILD-LIFE, OPEN SPACE AND OUTDOOR RECREATION VALUES OF THE PHYSICAL ENVIRONMENT OF THE LONG ISLAND REGION FOR CULTURE PHYSICAL, SPIRITUAL, AND ECONOMIC",2003,C,C01,NY,11724,C01,
820386993,1,1,,SNAKE RIVER ALLAINCE EDUCATION FUND,RESEARCH & EDUCATION,1999,C,C01,ID,83701,C01,
382899980,1,1,,POTAWATOMI LAND TRUST,TO PRESERVE OPEN SPACE IN WASHTENAW COUNTY AND TO EDUCATE THE RESIDENTS OF THE COUNTY IN LAND PRESERVATION TECHNIQUES.,1998,C,C01,MI,48113,C34,
930578714,1,2,,"OREGON ENVIRONMENTAL COUNCIL, INC.",ENVIRONMENTAL PROTECTION,1998,C,C01,OR,97204,C01,
953798792,1,4,,ENVIRONMENTAL HEALTH COALITION,PREVENTION & CLEAN UP HAZARDOUS TOXICS,1998,C,C01,CA,92101,C01,
942998086,1,4,,COMMUNITIES FOR A BETTER ENVIRONMENT,ENVIRONMENTAL AWARENESS,1998,C,C01,CA,94105,C01,
943116602,1,5,,ENVIRONMENTAL LAW ALLIANCE WORLDWIDE,EDUCATIONAL & CHARITABLE,1998,C,C01,OR,97403,C01,
741692204,1,1,,CITIZENS ENVIRONMENT COALITION,TO PROTECT THE ENVIRONMENT,1998,C,C01,TX,77227,C01,
223053747,1,4,,"CERES, INC.",THE IMPROVEMENT OF CORPORATE ENVIRONMENTAL RESPONSIBILITY,1998,C,C01,MA,2116,C01,2
926010379,1,2,,TRUSTEES FOR ALASKA,PROVIDE FREE LEGAL COUNSEL AND ADVOCACY TO PROTECT AND SUSTAIN ALASKA'S NATURAL ENVIRONMENT,1999,C,C01,AK,99501,C01,
810192810,1,1,,FLATHEAD LAKERS INC,WATER QUALITY,1998,C,C01,MT,59860,C01,
581624130,1,3,,"BLUE RIDGE ENVIRONMENTAL DEFENSE LEAGUE, INC.",ENVIRONMENTAL EDUCATION,1998,C,C01,NC,28629,C01,
510198762,1,2,,"CONSERVATION COUNCIL OF VIRGINIA, INC. T/A VIRGINIA CONSERVATION NETWORK",PROMOTE ENVIRONMENTAL CONSERVATION,1998,C,C01,VA,23219,C01,
593062311,1,5,,ALLIANCE FOR INTERNATIONAL REFORESTATION,GUATEMALAN REFORESTATION,1998,C,C01,FL,32720,C36,
30223731,1,2,,"VERMONT NATURAL RESOURCES COUNCIL, INC.",PRESERVATION AND CONSERVATION,1998,C,C01,VT,5602,C01,
161125061,1,1,,"SAVE THE RIVER, INC.",,1998,C,C01,NY,13624,C32,
382466754,1,2,,MICHIGAN RECYCLING COALITION,TO EDUCATE & PROMOTE RECYCLING.,1998,C,C01,MI,48901,C01,
223023058,1,4,,GLOBAL ACTION PLAN FOR THE EARTH,EDUCATION,1998,C,C01,NY,12498,C01,
30359346,1,4,,"CLEAN ENERGY GROUP, INC.",ENERGY CONSERVATION PROMOTION,2000,C,C01,VT,5602,C01,
